CustomerID	Limit	Terms
CN1-10	"$75,000.00 "	14
CN1-12	"$5,600.00 "	14
CN1-15	"$12,000.00 "	14
CN1-16	"$10,000.00 "	14
CN1-19	"$5,000.00 "	14
CN1-20	"$10,000.00 "	14
CN1-21	"$10,000.00 "	14
CN1-22	"$5,000.00 "	14
CN1-23	"$25,000.00 "	14
CN1-25	"$30,000.00 "	14
CN1-26	"$20,000.00 "	14
CN1-27	"$7,000.00 "	14
CN1-28	"$8,800.00 "	14
CN1-30	"$15,000.00 "	14
CN1-33	"$10,000.00 "	14
CN1-35	"$8,000.00 "	14
CN1-36	"$6,000.00 "	14
CN1-38	"$8,500.00 "	14
CN1-39	"$40,000.00 "	14
CN1-40	"$9,000.00 "	14
CN1-41	"$10,000.00 "	14
CN1-43	"$5,000.00 "	14
CN1-45	"$65,000.00 "	14
CN1-48	"$70,000.00 "	14
CN1-50	"$8,000.00 "	14
CN1-53	"$12,000.00 "	14
CN1-56	"$11,000.00 "	14
CN1-60	"$10,000.00 "	14
CN1-63	"$5,000.00 "	14
